,mpg,cyl,displ,hp,weight,accel,yr,origin,name,Group
133,18.0,6,225.0,105,3613,16.5,74,1,plymouth satellite sebring,2
134,16.0,8,302.0,140,4141,14.0,74,1,ford gran torino,1
135,13.0,8,350.0,150,4699,14.5,74,1,buick century luxus (sw),1
136,14.0,8,318.0,150,4457,13.5,74,1,dodge coronet custom (sw),1
137,14.0,8,302.0,140,4638,16.0,74,1,ford gran torino (sw),1
138,14.0,8,304.0,150,4257,15.5,74,1,amc matador (sw),1
139,29.0,4,98.0,83,2219,16.5,74,2,audi fox,0
140,26.0,4,79.0,67,1963,15.5,74,2,volkswagen dasher,0
141,26.0,4,97.0,78,2300,14.5,74,2,opel manta,0
142,31.0,4,76.0,52,1649,16.5,74,3,toyota corona,0
143,32.0,4,83.0,61,2003,19.0,74,3,datsun 710,0
144,28.0,4,90.0,75,2125,14.5,74,1,dodge colt,0
145,24.0,4,90.0,75,2108,15.5,74,2,fiat 128,0
146,26.0,4,116.0,75,2246,14.0,74,2,fiat 124 tc,0
147,24.0,4,120.0,97,2489,15.0,74,3,honda civic,0
148,26.0,4,108.0,93,2391,15.5,74,3,subaru,0
149,31.0,4,79.0,67,2000,16.0,74,2,fiat x1.9,0
150,19.0,6,225.0,95,3264,16.0,75,1,plymouth valiant custom,2
151,18.0,6,250.0,105,3459,16.0,75,1,chevrolet nova,2
152,15.0,6,250.0,72,3432,21.0,75,1,mercury monarch,2
153,15.0,6,250.0,72,3158,19.5,75,1,ford maverick,2
154,16.0,8,400.0,170,4668,11.5,75,1,pontiac catalina,1
155,15.0,8,350.0,145,4440,14.0,75,1,chevrolet bel air,1
156,16.0,8,318.0,150,4498,14.5,75,1,plymouth grand fury,1
157,14.0,8,351.0,148,4657,13.5,75,1,ford ltd,1
158,17.0,6,231.0,110,3907,21.0,75,1,buick century,2
159,16.0,6,250.0,105,3897,18.5,75,1,chevroelt chevelle malibu,2
160,15.0,6,258.0,110,3730,19.0,75,1,amc matador,2
161,18.0,6,225.0,95,3785,19.0,75,1,plymouth fury,2
162,21.0,6,231.0,110,3039,15.0,75,1,buick skyhawk,2
163,20.0,8,262.0,110,3221,13.5,75,1,chevrolet monza 2+2,2
164,13.0,8,302.0,129,3169,12.0,75,1,ford mustang ii,1
165,29.0,4,97.0,75,2171,16.0,75,3,toyota corolla,0
166,23.0,4,140.0,83,2639,17.0,75,1,ford pinto,0
167,20.0,6,232.0,100,2914,16.0,75,1,amc gremlin,2
168,23.0,4,140.0,78,2592,18.5,75,1,pontiac astro,0
169,24.0,4,134.0,96,2702,13.5,75,3,toyota corona,0
170,25.0,4,90.0,71,2223,16.5,75,2,volkswagen dasher,0
171,24.0,4,119.0,97,2545,17.0,75,3,datsun 710,0
172,18.0,6,171.0,97,2984,14.5,75,1,ford pinto,2
173,29.0,4,90.0,70,1937,14.0,75,2,volkswagen rabbit,0
174,19.0,6,232.0,90,3211,17.0,75,1,amc pacer,2
175,23.0,4,115.0,95,2694,15.0,75,2,audi 100ls,0
176,23.0,4,120.0,88,2957,17.0,75,2,peugeot 504,0
177,22.0,4,121.0,98,2945,14.5,75,2,volvo 244dl,0
178,25.0,4,121.0,115,2671,13.5,75,2,saab 99le,0
179,33.0,4,91.0,53,1795,17.5,75,3,honda civic cvcc,0
180,28.0,4,107.0,86,2464,15.5,76,2,fiat 131,0
181,25.0,4,116.0,81,2220,16.9,76,2,opel 1900,0
182,25.0,4,140.0,92,2572,14.9,76,1,capri ii,0
183,26.0,4,98.0,79,2255,17.7,76,1,dodge colt,0
184,27.0,4,101.0,83,2202,15.3,76,2,renault 12tl,0
185,17.5,8,305.0,140,4215,13.0,76,1,chevrolet chevelle malibu classic,1
186,16.0,8,318.0,150,4190,13.0,76,1,dodge coronet brougham,1
187,15.5,8,304.0,120,3962,13.9,76,1,amc matador,1
188,14.5,8,351.0,152,4215,12.8,76,1,ford gran torino,1
189,22.0,6,225.0,100,3233,15.4,76,1,plymouth valiant,2
190,22.0,6,250.0,105,3353,14.5,76,1,chevrolet nova,2
191,24.0,6,200.0,81,3012,17.6,76,1,ford maverick,2
192,22.5,6,232.0,90,3085,17.6,76,1,amc hornet,2
193,29.0,4,85.0,52,2035,22.2,76,1,chevrolet chevette,0
194,24.5,4,98.0,60,2164,22.1,76,1,chevrolet woody,0
195,29.0,4,90.0,70,1937,14.2,76,2,vw rabbit,0
196,33.0,4,91.0,53,1795,17.4,76,3,honda civic,0
197,20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,2
198,18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,2
199,18.5,6,250.0,110,3645,16.2,76,1,pontiac ventura sj,2
200,17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,2
201,29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,0
202,32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,0
203,28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,0
204,26.5,4,140.0,72,2565,13.6,76,1,ford pinto,0
205,20.0,4,130.0,102,3150,15.7,76,2,volvo 245,0
206,13.0,8,318.0,150,3940,13.2,76,1,plymouth volare premier v8,1
207,19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,0
208,19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,2
209,16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,2
210,16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,1
211,13.0,8,350.0,145,4055,12.0,76,1,chevy c10,1
212,13.0,8,302.0,130,3870,15.0,76,1,ford f108,1
213,13.0,8,318.0,150,3755,14.0,76,1,dodge d100,1
214,31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,0
215,30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,0
216,36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,0
217,25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,0
218,33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,0
219,17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,1
220,17.0,8,260.0,110,4060,19.0,77,1,oldsmobile cutlass supreme,2
221,15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,1
222,15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,1
223,17.5,6,250.0,110,3520,16.4,77,1,chevrolet concours,2
224,20.5,6,231.0,105,3425,16.9,77,1,buick skylark,2
225,19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,2
226,18.5,6,250.0,98,3525,19.0,77,1,ford granada,2
227,16.0,8,400.0,180,4220,11.1,77,1,pontiac grand prix lj,1
228,15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,1
229,15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,1
230,16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,1
231,29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,0
232,24.5,4,151.0,88,2740,16.0,77,1,pontiac sunbird coupe,0
233,26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,0
234,25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,0
235,30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,0
236,33.5,4,98.0,83,2075,15.9,77,1,dodge colt m/m,0
237,30.0,4,97.0,67,1985,16.4,77,3,subaru dl,0
238,30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,0
239,22.0,6,146.0,97,2815,14.5,77,3,datsun 810,2
240,21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,0
241,21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4,0
242,43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,0
243,36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,0
244,32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,0
245,39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,0
246,36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,0
247,19.9,8,260.0,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,2
248,19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,1
249,20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,1
250,19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,2
251,20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,2
252,20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),2
253,25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),0
254,20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,2
255,19.4,6,232.0,90,3210,17.2,78,1,amc concord,2
256,20.6,6,231.0,105,3380,15.8,78,1,buick century special,2
257,20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,2
258,18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,2
259,18.1,6,258.0,120,3410,15.1,78,1,amc concord d/l,2
260,19.2,8,305.0,145,3425,13.2,78,1,chevrolet monte carlo landau,1
261,17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),2
262,18.1,8,302.0,139,3205,11.2,78,1,ford futura,1
263,17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,1
264,30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,0
265,27.5,4,134.0,95,2560,14.2,78,3,toyota corona,0
266,27.2,4,119.0,97,2300,14.7,78,3,datsun 510,0
267,30.9,4,105.0,75,2230,14.5,78,1,dodge omni,0
268,21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,0
269,23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,0
270,23.8,4,151.0,85,2855,17.6,78,1,oldsmobile starfire sx,0
271,23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,0
272,20.3,5,131.0,103,2830,15.9,78,2,audi 5000,2
273,17.0,6,163.0,125,3140,13.6,78,2,volvo 264gl,2
274,21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,0
275,16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,2
276,31.5,4,89.0,71,1990,14.9,78,2,volkswagen scirocco,0
277,29.5,4,98.0,68,2135,16.6,78,3,honda accord lx,0
278,21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,2
279,19.8,6,200.0,85,2990,18.2,79,1,mercury zephyr 6,2
280,22.3,4,140.0,88,2890,17.3,79,1,ford fairmont 4,0
281,20.2,6,232.0,90,3265,18.2,79,1,amc concord dl 6,2
282,20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,2
283,17.0,8,305.0,130,3840,15.4,79,1,chevrolet caprice classic,1
284,17.6,8,302.0,129,3725,13.4,79,1,ford ltd landau,1
285,16.5,8,351.0,138,3955,13.2,79,1,mercury grand marquis,1
286,18.2,8,318.0,135,3830,15.2,79,1,dodge st. regis,1
287,16.9,8,350.0,155,4360,14.9,79,1,buick estate wagon (sw),1
288,15.5,8,351.0,142,4054,14.3,79,1,ford country squire (sw),1
289,19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),1
290,18.5,8,360.0,150,3940,13.0,79,1,chrysler lebaron town @ country (sw),1
291,31.9,4,89.0,71,1925,14.0,79,2,vw rabbit custom,0
292,34.1,4,86.0,65,1975,15.2,79,3,maxda glc deluxe,0
293,35.7,4,98.0,80,1915,14.4,79,1,dodge colt hatchback custom,0
294,27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,0
295,25.4,5,183.0,77,3530,20.1,79,2,mercedes benz 300d,2
296,23.0,8,350.0,125,3900,17.4,79,1,cadillac eldorado,1
297,27.2,4,141.0,71,3190,24.8,79,2,peugeot 504,0
298,23.9,8,260.0,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,2
299,34.2,4,105.0,70,2200,13.2,79,1,plymouth horizon,0
300,34.5,4,105.0,70,2150,14.9,79,1,plymouth horizon tc3,0
301,31.8,4,85.0,65,2020,19.2,79,3,datsun 210,0
302,37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,0
303,28.4,4,151.0,90,2670,16.0,79,1,buick skylark limited,0
304,28.8,6,173.0,115,2595,11.3,79,1,chevrolet citation,2
305,26.8,6,173.0,115,2700,12.9,79,1,oldsmobile omega brougham,2
306,33.5,4,151.0,90,2556,13.2,79,1,pontiac phoenix,0
307,41.5,4,98.0,76,2144,14.7,80,2,vw rabbit,0
308,38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel,0
309,32.1,4,98.0,70,2120,15.5,80,1,chevrolet chevette,0
310,37.2,4,86.0,65,2019,16.4,80,3,datsun 310,0
311,28.0,4,151.0,90,2678,16.5,80,1,chevrolet citation,0
312,26.4,4,140.0,88,2870,18.1,80,1,ford fairmont,0
313,24.3,4,151.0,90,3003,20.1,80,1,amc concord,0
314,19.1,6,225.0,90,3381,18.7,80,1,dodge aspen,2
315,34.3,4,97.0,78,2188,15.8,80,2,audi 4000,0
316,29.8,4,134.0,90,2711,15.5,80,3,toyota corona liftback,0
317,31.3,4,120.0,75,2542,17.5,80,3,mazda 626,0
318,37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback,0
319,32.2,4,108.0,75,2265,15.2,80,3,toyota corolla,0
320,46.6,4,86.0,65,2110,17.9,80,3,mazda glc,0
321,27.9,4,156.0,105,2800,14.4,80,1,dodge colt,0
322,40.8,4,85.0,65,2110,19.2,80,3,datsun 210,0
323,44.3,4,90.0,48,2085,21.7,80,2,vw rabbit c (diesel),0
324,43.4,4,90.0,48,2335,23.7,80,2,vw dasher (diesel),0
325,36.4,5,121.0,67,2950,19.9,80,2,audi 5000s (diesel),0
326,30.0,4,146.0,67,3250,21.8,80,2,mercedes-benz 240d,0
327,44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl,0
328,33.8,4,97.0,67,2145,18.0,80,3,subaru dl,0
329,29.8,4,89.0,62,1845,15.3,80,2,vokswagen rabbit,0
330,32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx,2
331,23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs,0
332,35.0,4,122.0,88,2500,15.1,80,2,triumph tr7 coupe,0
333,32.4,4,107.0,72,2290,17.0,80,3,honda accord,0
334,27.2,4,135.0,84,2490,15.7,81,1,plymouth reliant,0
335,26.6,4,151.0,84,2635,16.4,81,1,buick skylark,0
336,25.8,4,156.0,92,2620,14.4,81,1,dodge aries wagon (sw),0
337,23.5,6,173.0,110,2725,12.6,81,1,chevrolet citation,2
338,30.0,4,135.0,84,2385,12.9,81,1,plymouth reliant,0
339,39.1,4,79.0,58,1755,16.9,81,3,toyota starlet,0
340,39.0,4,86.0,64,1875,16.4,81,1,plymouth champ,0
341,35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300,0
342,32.3,4,97.0,67,2065,17.8,81,3,subaru,0
343,37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,0
344,37.7,4,89.0,62,2050,17.3,81,3,toyota tercel,0
345,34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,0
346,34.7,4,105.0,63,2215,14.9,81,1,plymouth horizon 4,0
347,34.4,4,98.0,65,2045,16.2,81,1,ford escort 4w,0
348,29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,0
349,33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,0
350,33.7,4,107.0,75,2210,14.4,81,3,honda prelude,0
351,32.4,4,108.0,75,2350,16.8,81,3,toyota corolla,0
352,32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx,0
353,31.6,4,120.0,74,2635,18.3,81,3,mazda 626,0
354,28.1,4,141.0,80,3230,20.4,81,2,peugeot 505s turbo diesel,0
355,30.7,6,145.0,76,3160,19.6,81,2,volvo diesel,2
356,25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,2
357,24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima,2
358,22.4,6,231.0,110,3415,15.8,81,1,buick century,2
359,26.6,8,350.0,105,3725,19.0,81,1,oldsmobile cutlass ls,2
360,20.2,6,200.0,88,3060,17.1,81,1,ford granada gl,2
361,17.6,6,225.0,85,3465,16.6,81,1,chrysler lebaron salon,2
362,28.0,4,112.0,88,2605,19.6,82,1,chevrolet cavalier,0
363,27.0,4,112.0,88,2640,18.6,82,1,chevrolet cavalier wagon,0
364,34.0,4,112.0,88,2395,18.0,82,1,chevrolet cavalier 2-door,0
365,31.0,4,112.0,85,2575,16.2,82,1,pontiac j2000 se hatchback,0
366,29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,0
367,27.0,4,151.0,90,2735,18.0,82,1,pontiac phoenix,0
368,24.0,4,140.0,92,2865,16.4,82,1,ford fairmont futura,0
369,36.0,4,105.0,74,1980,15.3,82,2,volkswagen rabbit l,0
370,37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,0
371,31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom,0
372,38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,0
373,36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,0
374,36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe,0
375,36.0,4,107.0,75,2205,14.5,82,3,honda accord,0
376,34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,0
377,38.0,4,91.0,67,1965,15.0,82,3,honda civic,0
378,32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),0
379,38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,0
380,25.0,6,181.0,110,2945,16.4,82,1,buick century limited,2
381,38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),2
382,26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,0
383,22.0,6,232.0,112,2835,14.7,82,1,ford granada l,2
384,32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,0
385,36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,0
386,27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,0
387,27.0,4,140.0,86,2790,15.6,82,1,ford mustang gl,0
388,44.0,4,97.0,52,2130,24.6,82,2,vw pickup,0
389,32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,0
390,28.0,4,120.0,79,2625,18.6,82,1,ford ranger,0
